orderNumber,postingId,moment,isReturned,returnReason
50397350-0197,xxxxx1671373000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1671374000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1670880000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1671357000,2026-03-31 17:41:53,0,
50397350-0197,xxxxx1671361000,2026-03-31 17:41:53,0,
50397350-0200,xxxxx0759958000,2026-03-31 17:41:53,0,
50397350-0200,xxxxx0759958000,2026-03-31 17:41:53,0,
50397350-0200,xxxxx0759956000,2026-03-31 17:41:53,0,
50397350-0198,xxxxx1183948000,2026-03-31 17:41:52,1,Изменил решение о покупке/Товар не подошёл
0136999641-0076,xxxxx2053231000,2026-03-31 17:21:19,0,
0133022527-0221,xxxxx8256141000,2026-03-31 17:15:03,0,
0133022527-0223,xxxxx1523713000,2026-03-31 17:15:03,0,
04596996-0307,xxxxx5061713000,2026-03-31 17:08:38,0,
04596996-0303,xxxxx7685662000,2026-03-31 17:08:38,0,
13625384-0207,xxxxx3115898000,2026-03-31 16:47:07,0,
94649943-0194,xxxxx2306524000,2026-03-31 16:46:15,0,
0163304184-0113,xxxxx6328505000,2026-03-31 16:45:59,1,Отказ клиента при передаче
0131478915-0081,xxxxx4591339000,2026-03-31 16:44:10,0,
0131478915-0080,xxxxx2869404000,2026-03-31 16:44:10,0,
0131478915-0083,xxxxx4473084000,2026-03-31 16:44:10,0,
0114123152-0332,xxxxx1432968000,2026-03-31 16:36:23,0,
0114123152-0334,xxxxx0703508000,2026-03-31 16:36:23,0,
0114123152-0334,xxxxx3552441000,2026-03-31 16:36:23,0,
0114123152-0334,xxxxx0703510000,2026-03-31 16:36:23,0,
13169058-0084,xxxxx4145706000,2026-03-31 16:15:40,0,
51233141-0602,xxxxx7549053000,2026-03-31 16:06:15,0,
36769786-0061,xxxxx0218373000,2026-03-31 20:46:24,0,
36769786-0061,xxxxx6931974000,2026-03-31 20:46:24,0,
73584956-0894,xxxxx0609130000,2026-03-31 20:28:35,0,
74074288-1116,xxxxx4469310000,2026-03-31 19:49:50,0,
52636281-0170,xxxxx1528966000,2026-03-31 19:45:00,0,
52636281-0162,xxxxx6078912000,2026-03-31 19:45:00,0,
79679202-0055,xxxxx4029034000,2026-03-31 19:30:30,0,
42841715-0500,xxxxx2443913000,2026-03-31 19:17:28,0,
0182770667-0142,xxxxx2324050000,2026-03-31 19:17:23,0,
0105896255-0098,xxxxx8245615000,2026-03-31 18:52:39,0,
91895796-0168,xxxxx9856460000,2026-03-31 18:40:48,0,
66188280-0054,xxxxx9728625000,2026-03-31 18:33:56,1,Отказ клиента при передаче
66188280-0076,xxxxx1376798000,2026-03-31 18:33:56,1,Изменил решение о покупке/Товар не подошёл
66188280-0074,xxxxx8595642000,2026-03-31 18:33:56,0,
58146620-0298,xxxxx9455559000,2026-03-31 18:24:44,0,
58146620-0299,xxxxx5655554000,2026-03-31 18:24:44,0,
58146620-0300,xxxxx0608856000,2026-03-31 18:24:44,0,
58146620-0297,xxxxx0052127000,2026-03-31 18:24:44,0,
76160766-1034,xxxxx6609193000,2026-03-31 17:50:41,0,
76160766-1041,xxxxx4653947000,2026-03-31 17:50:41,0,
0129879818-0389,xxxxx1115685000,2026-03-31 17:43:39,0,
0129879818-0390,xxxxx6567595000,2026-03-31 17:43:39,0,
0129879818-0387,xxxxx3155620000,2026-03-31 17:43:39,0,
50397350-0197,xxxxx1671372000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1671377000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1671373000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1671374000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1670880000,2026-03-31 17:41:53,1,Изменил решение о покупке/Товар не подошёл
50397350-0197,xxxxx1671357000,2026-03-31 17:41:53,0,
50397350-0197,xxxxx1671361000,2026-03-31 17:41:53,0,
50397350-0200,xxxxx0759958000,2026-03-31 17:41:53,0,
50397350-0200,xxxxx0759958000,2026-03-31 17:41:53,0,
50397350-0200,xxxxx0759956000,2026-03-31 17:41:53,0,
50397350-0198,xxxxx1183948000,2026-03-31 17:41:52,1,Изменил решение о покупке/Товар не подошёл
0136999641-0076,xxxxx2053231000,2026-03-31 17:21:19,0,
0133022527-0221,xxxxx8256141000,2026-03-31 17:15:03,0,
0133022527-0223,xxxxx1523713000,2026-03-31 17:15:03,0,
04596996-0307,xxxxx5061713000,2026-03-31 17:08:38,0,
04596996-0303,xxxxx7685662000,2026-03-31 17:08:38,0,
13625384-0207,xxxxx3115898000,2026-03-31 16:47:07,0,
94649943-0194,xxxxx2306524000,2026-03-31 16:46:15,0,
0163304184-0113,xxxxx6328505000,2026-03-31 16:45:59,1,Отказ клиента при передаче
0131478915-0081,xxxxx4591339000,2026-03-31 16:44:10,0,
0131478915-0080,xxxxx2869404000,2026-03-31 16:44:10,0,
0131478915-0083,xxxxx4473084000,2026-03-31 16:44:10,0,
0114123152-0332,xxxxx1432968000,2026-03-31 16:36:23,0,
0114123152-0334,xxxxx0703508000,2026-03-31 16:36:23,0,
0114123152-0334,xxxxx3552441000,2026-03-31 16:36:23,0,
0114123152-0334,xxxxx0703510000,2026-03-31 16:36:23,0,
13169058-0084,xxxxx4145706000,2026-03-31 16:15:40,0,
51233141-0602,xxxxx7549053000,2026-03-31 16:06:15,0,
51233141-0599,xxxxx3085072000,2026-03-31 16:06:15,0,
51233141-0601,xxxxx3501291000,2026-03-31 16:06:15,0,
51233141-0603,xxxxx7472613000,2026-03-31 16:06:15,0,
51233141-0598,xxxxx3103446000,2026-03-31 16:06:14,1,Изменил решение о покупке/Товар не подошёл
51233141-0600,xxxxx3865312000,2026-03-31 16:06:14,0,
0118576091-0531,xxxxx7700641000,2026-03-31 15:52:56,0,
42791284-0202,xxxxx8083868000,2026-03-31 14:06:43,0,
42791284-0204,xxxxx4885437000,2026-03-31 14:06:43,0,
42791284-0205,xxxxx2186646000,2026-03-31 14:06:43,0,
0197842408-0045,xxxxx0027026000,2026-03-31 14:01:34,0,
98510198-0084,xxxxx6498780000,2026-03-31 13:50:50,1,Изменил решение о покупке/Товар не подошёл
98510198-0082,xxxxx6480709000,2026-03-31 13:50:50,1,Изменил решение о покупке/Товар не подошёл
89997057-0094,xxxxx9043669000,2026-03-31 12:45:54,0,
56986284-0113,xxxxx1645617000,2026-03-31 12:45:09,0,
56986284-0113,xxxxx1645618000,2026-03-31 12:45:09,0,
56986284-0113,xxxxx1645620000,2026-03-31 12:45:09,0,
56986284-0111,xxxxx0321859000,2026-03-31 12:45:09,0,
0171880517-0073,xxxxx0550497000,2026-03-31 12:25:28,0,
51972586-1251,xxxxx9094435000,2026-03-31 12:11:30,0,
51972586-1250,xxxxx5658891000,2026-03-31 12:11:30,0,
34128709-0233,xxxxx8499116000,2026-03-31 12:10:10,0,
34128709-0241,xxxxx5551410000,2026-03-31 12:10:10,1,Изменил решение о покупке/Товар не подошёл
34128709-0241,xxxxx5549402000,2026-03-31 12:10:10,1,Изменил решение о покупке/Товар не подошёл
34128709-0240,xxxxx4565460000,2026-03-31 12:10:10,1,Изменил решение о покупке/Товар не подошёл
34128709-0239,xxxxx8923361000,2026-03-31 12:10:10,1,Изменил решение о покупке/Товар не подошёл
34128709-0227,xxxxx4205821000,2026-03-31 12:10:10,0,
34128709-0227,xxxxx4204000000,2026-03-31 12:10:10,0,
33881234-0514,xxxxx2609932000,2026-03-31 11:56:21,0,
33881234-0515,xxxxx5672309000,2026-03-31 11:56:21,0,
33881234-0511,xxxxx1879129000,2026-03-31 11:56:21,1,Изменил решение о покупке/Товар не подошёл
98510198-0060,xxxxx9635111000,2026-03-31 11:50:40,0,
47187045-0320,xxxxx5971879000,2026-03-31 11:46:20,0,
47187045-0324,xxxxx5410096000,2026-03-31 11:46:18,0,
16190022-0536,xxxxx8950520000,2026-03-31 09:39:32,0,
16190022-0530,xxxxx6321984000,2026-03-31 09:39:32,0,
16190022-0527,xxxxx0987924000,2026-03-31 09:39:32,0,
16190022-0527,xxxxx0987929000,2026-03-31 09:39:32,0,
16190022-0534,xxxxx9536891000,2026-03-31 09:39:32,0,
16190022-0531,xxxxx9764271000,2026-03-31 09:39:32,0,
16190022-0526,xxxxx0650850000,2026-03-31 09:39:32,0,
16190022-0512,xxxxx1834317000,2026-03-31 09:39:32,0,
16190022-0528,xxxxx5607878000,2026-03-31 09:39:32,0,
93301556-0376,xxxxx8134728000,2026-03-31 09:06:12,0,
93301556-0376,xxxxx8134728000,2026-03-31 09:06:12,0,
93301556-0376,xxxxx8134728000,2026-03-31 09:06:12,0,
93301556-0376,xxxxx8134728000,2026-03-31 09:06:12,0,
93301556-0376,xxxxx1071921000,2026-03-31 09:06:12,0,
0169737333-0112,xxxxx5998510000,2026-03-30 20:23:42,0,
0169737333-0113,xxxxx5561479000,2026-03-30 20:23:41,1,Нет части товаров из комплекта/набора
34667186-0095,xxxxx6439526000,2026-03-30 20:22:23,0,
34667186-0091,xxxxx6180436000,2026-03-30 20:22:23,0,
0116895804-0004,xxxxx9734540000,2026-03-30 20:06:33,0,
0116895804-0002,xxxxx7844556000,2026-03-30 20:06:33,0,
37371712-0288,xxxxx4262166000,2026-03-30 19:59:02,0,
65927862-0453,xxxxx1049163000,2026-03-30 19:49:23,0,
47763717-0236,xxxxx9266063000,2026-03-30 19:48:13,0,
47763717-0237,xxxxx5797324000,2026-03-30 19:46:47,1,Изменил решение о покупке/Товар не подошёл
47763717-0237,xxxxx5797327000,2026-03-30 19:46:47,1,Изменил решение о покупке/Товар не подошёл
47763717-0237,xxxxx5798520000,2026-03-30 19:46:47,0,
43033901-0109,xxxxx7124521000,2026-03-30 19:45:07,0,
83712863-0148,xxxxx0729734000,2026-03-30 19:39:25,0,
83712863-0149,xxxxx0242656000,2026-03-30 19:39:25,0,
0126181911-0231,xxxxx1034457000,2026-03-30 19:38:15,0,
0126181911-0230,xxxxx3317619000,2026-03-30 19:38:15,0,
06469732-0221,xxxxx4745657000,2026-03-30 19:18:39,1,Изменил решение о покупке/Товар не подошёл
06469732-0221,xxxxx4745658000,2026-03-30 19:18:39,0,
0126845061-0031,xxxxx3931460000,2026-03-30 19:04:33,0,
51727604-0420,xxxxx8613548000,2026-03-30 18:50:32,0,
51727604-0419,xxxxx9485090000,2026-03-30 18:50:32,0,
51727604-0417,xxxxx8559152000,2026-03-30 18:50:32,0,
91895796-0182,xxxxx3745037000,2026-03-30 18:18:41,0,
91895796-0182,xxxxx3745036000,2026-03-30 18:18:41,0,
0115706197-0057,xxxxx4171597000,2026-03-30 18:08:50,0,
76160766-1038,xxxxx5890311000,2026-03-30 18:06:37,0,
76160766-1031,xxxxx1554015000,2026-03-30 18:06:37,1,Изменил решение о покупке/Товар не подошёл
76160766-1039,xxxxx0431498000,2026-03-30 18:06:37,1,Изменил решение о покупке/Товар не подошёл
76160766-1040,xxxxx1363654000,2026-03-30 18:06:37,1,Изменил решение о покупке/Товар не подошёл
76160766-1032,xxxxx3120660000,2026-03-30 18:06:37,1,Изменил решение о покупке/Товар не подошёл
76160766-1030,xxxxx1622919000,2026-03-30 18:06:37,1,Изменил решение о покупке/Товар не подошёл
41282477-0067,xxxxx7262495000,2026-03-30 18:01:15,0,
36184234-0239,xxxxx0947986000,2026-03-30 17:50:21,0,
36184234-0240,xxxxx8528937000,2026-03-30 17:50:21,0,
36184234-0240,xxxxx8527829000,2026-03-30 17:50:21,0,
75318903-0287,xxxxx7124989000,2026-03-30 17:50:08,1,Изменил решение о покупке/Товар не подошёл
75318903-0287,xxxxx7124988000,2026-03-30 17:50:08,0,
0212021534-0019,xxxxx7345575000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345510000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345505000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345515000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345513000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345506000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345509000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345503000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx7345574000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345508000,2026-03-30 17:47:01,0,
0212021534-0019,xxxxx8345502000,2026-03-30 17:47:01,0,
0143279608-0071,xxxxx4615488000,2026-03-30 17:19:04,0,
0143279608-0070,xxxxx1922925000,2026-03-30 17:19:04,0,
0145014543-0182,xxxxx0929773000,2026-03-30 17:18:56,0,
51152997-0209,xxxxx0613852000,2026-03-30 17:16:19,0,
91310989-0065,xxxxx3427961000,2026-03-30 16:56:08,0,
0228125036-0005,xxxxx7785672000,2026-03-30 16:46:39,0,
0228125036-0005,xxxxx7785667000,2026-03-30 16:46:39,0,
0228125036-0005,xxxxx7785670000,2026-03-30 16:46:39,0,
0228125036-0005,xxxxx7787445000,2026-03-30 16:46:39,0,
0228125036-0006,xxxxx3871676000,2026-03-30 16:45:23,0,
0228125036-0004,xxxxx4834443000,2026-03-30 16:45:23,0,
0146527151-0008,xxxxx5644372000,2026-03-30 16:37:45,0,
0146527151-0006,xxxxx5122800000,2026-03-30 16:37:45,0,
0146527151-0007,xxxxx5672710000,2026-03-30 16:37:45,0,
61828249-0275,xxxxx7097678000,2026-03-30 16:29:30,0,
0163304184-0135,xxxxx0615801000,2026-03-30 16:20:58,0,
0199391378-0032,xxxxx5875463000,2026-03-30 16:13:22,0,
0199391378-0033,xxxxx1084026000,2026-03-30 16:13:22,0,
0199391378-0033,xxxxx1084025000,2026-03-30 16:13:22,0,
46310653-0126,xxxxx3156089000,2026-03-30 16:10:53,0,
46310653-0125,xxxxx3402790000,2026-03-30 16:10:53,0,
0146917091-0158,xxxxx9357939000,2026-03-30 15:49:19,0,
0146917091-0157,xxxxx4468587000,2026-03-30 15:49:19,0,
0244520297-0012,xxxxx2027889000,2026-03-30 15:41:30,0,
0118576091-0529,xxxxx7493641000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7488201000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7493694000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7493673000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7493552000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7493622000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7493609000,2026-03-30 15:41:21,0,
0118576091-0529,xxxxx7493670000,2026-03-30 15:41:21,0,
55659211-0024,xxxxx7316280000,2026-03-30 15:17:48,0,
55659211-0026,xxxxx9395377000,2026-03-30 15:17:48,0,
0199112756-0014,xxxxx5992834000,2026-03-30 14:31:43,0,
0199112756-0016,xxxxx2385833000,2026-03-30 14:29:41,0,
0199112756-0015,xxxxx7994342000,2026-03-30 14:29:41,0,
0199112756-0011,xxxxx8739644000,2026-03-30 14:29:41,0,
65733794-0324,xxxxx8855446000,2026-03-30 13:31:24,0,
03191621-0501,xxxxx9417725000,2026-03-30 12:46:44,0,
43318963-0071,xxxxx1657148000,2026-03-30 12:21:24,1,Изменил решение о покупке/Товар не подошёл
43318963-0071,xxxxx1657146000,2026-03-30 12:21:24,1,Изменил решение о покупке/Товар не подошёл
43318963-0070,xxxxx1942901000,2026-03-30 12:21:24,0,
43318963-0071,xxxxx1657147000,2026-03-30 12:21:24,0,
43318963-0072,xxxxx4123084000,2026-03-30 12:21:24,0,
0127696182-0074,xxxxx6185485000,2026-03-30 11:51:11,0,
33881234-0507,xxxxx4347188000,2026-03-30 10:35:20,0,
33881234-0513,xxxxx1224731000,2026-03-30 10:34:30,0,
33881234-0508,xxxxx4111945000,2026-03-30 10:34:30,1,Изменил решение о покупке/Товар не подошёл
33881234-0512,xxxxx6468854000,2026-03-30 10:34:30,1,Изменил решение о покупке/Товар не подошёл
33881234-0505,xxxxx9383111000,2026-03-30 10:34:30,1,Изменил решение о покупке/Товар не подошёл
33881234-0509,xxxxx5848055000,2026-03-30 10:34:30,1,Изменил решение о покупке/Товар не подошёл
33881234-0510,xxxxx0412953000,2026-03-30 10:34:30,0,
51972586-1249,xxxxx6597327000,2026-03-29 20:53:44,0,
51972586-1249,xxxxx6597331000,2026-03-29 20:53:44,0,
51972586-1249,xxxxx8310045000,2026-03-29 20:53:44,0,
51972586-1249,xxxxx8310046000,2026-03-29 20:53:44,0,
51972586-1248,xxxxx6725362000,2026-03-29 20:53:44,0,
51972586-1246,xxxxx3204482000,2026-03-29 20:53:44,0,
63119774-0217,xxxxx0266084000,2026-03-29 20:41:46,0,
65733794-0324,xxxxx8855444000,2026-03-29 20:34:19,0,
65733794-0326,xxxxx9297248000,2026-03-29 20:34:19,0,
0191136426-0027,xxxxx9657371000,2026-03-29 20:17:10,1,Отказ клиента при передаче
0191136426-0027,xxxxx9657358000,2026-03-29 20:17:10,0,
0191136426-0028,xxxxx4430258000,2026-03-29 20:17:10,0,
40842785-0247,xxxxx6089392000,2026-03-29 20:14:39,0,
40842785-0249,xxxxx9804548000,2026-03-29 20:14:39,0,
40842785-0249,xxxxx9803938000,2026-03-29 20:14:39,0,
0130484708-0248,xxxxx3690786000,2026-03-29 19:51:48,0,
0130484708-0249,xxxxx3338415000,2026-03-29 19:51:00,0,
0130484708-0250,xxxxx9001374000,2026-03-29 19:51:00,1,Изменил решение о покупке/Товар не подошёл
0118576091-0524,xxxxx4541710000,2026-03-29 19:16:03,0,
0118576091-0524,xxxxx4541712000,2026-03-29 19:16:03,0,
0118576091-0521,xxxxx9860677000,2026-03-29 19:16:02,0,
0118576091-0520,xxxxx8564937000,2026-03-29 19:16:02,0,
0118576091-0520,xxxxx8564938000,2026-03-29 19:16:02,0,
0118576091-0520,xxxxx8564467000,2026-03-29 19:16:02,0,
0118576091-0528,xxxxx7432042000,2026-03-29 19:16:02,0,
31894499-0590,xxxxx9791943000,2026-03-29 19:05:23,0,
31894499-0591,xxxxx1602409000,2026-03-29 19:05:23,0,
31894499-0586,xxxxx3825235000,2026-03-29 19:05:23,0,
31894499-0589,xxxxx8560016000,2026-03-29 19:05:23,0,
31894499-0594,xxxxx8279260000,2026-03-29 19:05:23,0,
31894499-0587,xxxxx6082520000,2026-03-29 19:05:23,0,
31894499-0585,xxxxx0223397000,2026-03-29 19:05:23,0,
31894499-0585,xxxxx4525325000,2026-03-29 19:05:23,0,
31894499-0585,xxxxx0223422000,2026-03-29 19:05:23,0,
31894499-0588,xxxxx2334882000,2026-03-29 19:05:23,0,
31894499-0568,xxxxx6494396000,2026-03-29 19:05:23,0,
50585552-0736,xxxxx6871996000,2026-03-29 18:54:33,0,
50585552-0700,xxxxx1172241000,2026-03-29 18:54:32,0,
50585552-0700,xxxxx1172241000,2026-03-29 18:54:32,0,
18476893-0114,xxxxx6783946000,2026-03-29 18:54:07,0,
18476893-0114,xxxxx3289792000,2026-03-29 18:54:07,0,
59170355-0101,xxxxx8003800000,2026-03-29 18:35:06,0,
50211064-0759,xxxxx6634695000,2026-03-29 18:28:47,0,
50211064-0759,xxxxx6635350000,2026-03-29 18:28:47,0,
46631815-0954,xxxxx8870028000,2026-03-29 17:27:52,0,
46631815-0948,xxxxx0184157000,2026-03-29 17:27:52,0,
46631815-0953,xxxxx5925812000,2026-03-29 17:27:52,0,
91675583-0087,xxxxx0924304000,2026-03-29 17:24:14,0,
91675583-0087,xxxxx0925818000,2026-03-29 17:24:14,0,
91675583-0087,xxxxx0925829000,2026-03-29 17:24:14,0,
91675583-0086,xxxxx7148713000,2026-03-29 17:24:14,0,
0126181911-0230,xxxxx3317620000,2026-03-29 16:23:10,0,
0162494421-0042,xxxxx1411143000,2026-03-29 16:15:46,0,
0162494421-0046,xxxxx8205323000,2026-03-29 16:15:46,0,
0162494421-0044,xxxxx5666483000,2026-03-29 16:15:46,0,
28895039-0107,xxxxx7457775000,2026-03-29 16:09:25,0,
23914647-0065,xxxxx6516509000,2026-03-29 15:59:46,1,Изменил решение о покупке/Товар не подошёл
23914647-0066,xxxxx1270177000,2026-03-29 15:59:46,1,Изменил решение о покупке/Товар не подошёл
23914647-0065,xxxxx6516508000,2026-03-29 15:59:46,0,
23914647-0066,xxxxx1270176000,2026-03-29 15:59:46,0,
23914647-0067,xxxxx0340432000,2026-03-29 15:59:46,0,
0114123152-0331,xxxxx1553731000,2026-03-29 15:53:24,0,
0114123152-0330,xxxxx4979613000,2026-03-29 15:53:24,0,
0114123152-0322,xxxxx8082598000,2026-03-29 15:53:23,1,Отказ клиента при передаче
0162713195-0005,xxxxx3544978000,2026-03-29 15:22:33,0,
0162713195-0004,xxxxx6781461000,2026-03-29 15:22:33,0,
0236316812-0001,xxxxx8136326000,2026-03-29 14:56:58,0,
0236316812-0001,xxxxx8136319000,2026-03-29 14:56:58,0,
37400916-0644,xxxxx8475452000,2026-03-29 14:50:09,0,
13625384-0206,xxxxx8769564000,2026-03-29 14:41:20,0,
13625384-0207,xxxxx3115901000,2026-03-29 14:39:13,0,
78058100-0153,xxxxx5246786000,2026-03-29 14:38:39,0,
0182770667-0140,xxxxx5845548000,2026-03-29 14:34:02,0,
0182770667-0113,xxxxx5464851000,2026-03-29 14:34:02,0,
78033896-0085,xxxxx5220759000,2026-03-29 14:20:53,0,
78033896-0085,xxxxx5220757000,2026-03-29 14:20:53,0,
78033896-0085,xxxxx5220761000,2026-03-29 14:20:53,0,
78033896-0085,xxxxx5220762000,2026-03-29 14:20:51,0,
49674340-0068,xxxxx0217348000,2026-03-29 13:19:39,0,
49674340-0067,xxxxx9399146000,2026-03-29 13:19:39,0,
66188280-0072,xxxxx8433556000,2026-03-29 13:12:48,0,
66188280-0053,xxxxx1841209000,2026-03-29 13:12:48,1,Изменил решение о покупке/Товар не подошёл
66188280-0075,xxxxx1361738000,2026-03-29 13:12:47,1,Изменил решение о покупке/Товар не подошёл
66188280-0069,xxxxx8140583000,2026-03-29 13:12:47,0,
66188280-0063,xxxxx8874527000,2026-03-29 13:12:47,0,
45474454-0367,xxxxx1370890000,2026-03-29 12:26:10,1,Изменил решение о покупке/Товар не подошёл
45474454-0367,xxxxx1370889000,2026-03-29 12:26:10,0,
45474454-0368,xxxxx5563246000,2026-03-29 12:26:10,0,
45474454-0369,xxxxx8333325000,2026-03-29 12:26:09,0,
49651061-0153,xxxxx9486179000,2026-03-29 11:52:53,1,Привезли другой товар
49651061-0147,xxxxx2031935000,2026-03-29 11:52:53,0,
49651061-0150,xxxxx4587145000,2026-03-29 11:52:53,0,
49651061-0152,xxxxx4586911000,2026-03-29 11:52:53,0,
49651061-0149,xxxxx1495803000,2026-03-29 11:52:53,0,
59152100-0143,xxxxx0653166000,2026-03-29 11:00:25,0,
68309091-0240,xxxxx5730359000,2026-03-28 20:54:09,0,
16113689-0493,xxxxx4011567000,2026-03-28 20:51:24,0,
16113689-0491,xxxxx3971676000,2026-03-28 20:51:24,0,
16113689-0489,xxxxx0961025000,2026-03-28 20:51:24,0,
16113689-0490,xxxxx5754225000,2026-03-28 20:51:24,0,
16113689-0490,xxxxx5754224000,2026-03-28 20:51:24,0,
0153748442-0204,xxxxx5546222000,2026-03-28 20:28:18,0,
0153748442-0203,xxxxx3840578000,2026-03-28 20:28:18,0,
0182770667-0138,xxxxx0589375000,2026-03-28 20:13:47,0,
0127696182-0075,xxxxx2297415000,2026-03-28 19:26:17,0,
0127696182-0073,xxxxx2398593000,2026-03-28 19:26:17,0,
93598552-0012,xxxxx2416878000,2026-03-28 19:05:11,0,
75318903-0286,xxxxx3082522000,2026-03-28 18:49:35,0,
75318903-0275,xxxxx9505853000,2026-03-28 18:49:35,0,
75318903-0290,xxxxx9527945000,2026-03-28 18:49:35,0,
90351259-0170,xxxxx3834467000,2026-03-28 18:28:53,0,
47763717-0235,xxxxx5186637000,2026-03-28 18:28:06,1,Изменил решение о покупке/Товар не подошёл
47763717-0235,xxxxx5187038000,2026-03-28 18:28:06,1,Изменил решение о покупке/Товар не подошёл
47763717-0235,xxxxx5186639000,2026-03-28 18:28:06,1,Изменил решение о покупке/Товар не подошёл
47763717-0235,xxxxx5186638000,2026-03-28 18:28:06,0,
47763717-0235,xxxxx5186635000,2026-03-28 18:28:06,0,
36184234-0239,xxxxx0956780000,2026-03-28 18:25:59,0,
36184234-0239,xxxxx0947985000,2026-03-28 18:25:59,0,
14356640-0126,xxxxx4966753000,2026-03-28 18:18:48,0,
14356640-0123,xxxxx9292883000,2026-03-28 18:18:48,0,
0132709000-0107,xxxxx0256430000,2026-03-28 18:15:30,0,
72887592-0117,xxxxx6071547000,2026-03-28 18:15:02,0,
0132709000-0097,xxxxx2390150000,2026-03-28 18:14:43,0,
0132709000-0098,xxxxx3362306000,2026-03-28 18:14:43,0,
50417306-0085,xxxxx1469724000,2026-03-28 17:29:05,0,
50417306-0086,xxxxx1474205000,2026-03-28 17:29:05,1,Изменил решение о покупке/Товар не подошёл
0133022527-0220,xxxxx5351905000,2026-03-28 16:57:43,1,Изменил решение о покупке/Товар не подошёл
0133022527-0219,xxxxx6369878000,2026-03-28 16:57:43,0,
0133022527-0219,xxxxx6369879000,2026-03-28 16:57:43,0,
57280309-0315,xxxxx8421725000,2026-03-28 16:34:57,0,
57280309-0313,xxxxx8571800000,2026-03-28 16:34:57,0,
60465401-0114,xxxxx8765182000,2026-03-28 16:34:33,0,
0102648277-0096,xxxxx0842736000,2026-03-28 16:29:40,0,
0102648277-0096,xxxxx0842736000,2026-03-28 16:29:40,0,
0102648277-0096,xxxxx0842736000,2026-03-28 16:29:40,0,
0141524962-0033,xxxxx0490618000,2026-03-28 16:29:21,0,
91895796-0184,xxxxx5311963000,2026-03-28 16:12:15,1,Изменил решение о покупке/Товар не подошёл
04596996-0296,xxxxx4106319000,2026-03-28 15:47:23,0,
49001475-0215,xxxxx2795520000,2026-03-28 15:46:24,0,
49001475-0216,xxxxx7034663000,2026-03-28 15:46:24,0,
04596996-0297,xxxxx9737062000,2026-03-28 15:46:15,0,
04596996-0301,xxxxx8075522000,2026-03-28 15:46:14,0,
04596996-0301,xxxxx8075525000,2026-03-28 15:46:14,0,
04596996-0302,xxxxx9382254000,2026-03-28 15:46:14,0,
04596996-0302,xxxxx9382247000,2026-03-28 15:46:14,0,
04596996-0300,xxxxx4908758000,2026-03-28 15:46:14,0,
0151219954-0100,xxxxx8938762000,2026-03-28 15:10:27,0,
0151219954-0100,xxxxx5030224000,2026-03-28 15:10:27,0,
51601267-0112,xxxxx2176707000,2026-03-28 14:08:09,0,
0179303928-0291,xxxxx4019513000,2026-03-28 14:00:10,0,
0179303928-0286,xxxxx0834850000,2026-03-28 14:00:10,0,
51447277-0032,xxxxx4000450000,2026-03-28 13:25:52,0,
52636281-0171,xxxxx1592519000,2026-03-28 12:47:18,0,
85094710-0022,xxxxx6047729000,2026-03-28 12:37:56,0,
81419425-0025,xxxxx3807163000,2026-03-28 11:17:58,0,
47126401-0122,xxxxx0946483000,2026-03-28 09:56:29,0,
31210898-0391,xxxxx0320524000,2026-03-28 09:48:43,0,
98510198-0072,xxxxx5768710000,2026-03-28 09:30:36,0,
98510198-0070,xxxxx0926162000,2026-03-28 09:30:36,0,
98510198-0062,xxxxx0763443000,2026-03-28 09:30:36,0,
98510198-0079,xxxxx7331753000,2026-03-28 09:30:36,0,
98510198-0079,xxxxx7331751000,2026-03-28 09:30:36,0,
98510198-0069,xxxxx2465977000,2026-03-28 09:30:36,0,
98510198-0066,xxxxx5713423000,2026-03-28 09:30:36,0,
